Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
211	wheeler246	1546741912.397	    60.644	0	0	0	0	./wrapper1.sh \[-4.2,-3.8,211\] > conn.log
212	wheeler228	1546741915.621	    59.980	0	0	0	0	./wrapper1.sh \[-4.2,-3.6,212\] > conn.log
214	wheeler231	1546741916.380	    62.458	0	0	0	0	./wrapper1.sh \[-4.2,-3.2,214\] > conn.log
217	wheeler240	1546741918.354	    60.760	0	0	0	0	./wrapper1.sh \[-4.2,-2.6,217\] > conn.log
215	wheeler233	1546741916.727	    62.510	0	0	0	0	./wrapper1.sh \[-4.2,-3.0,215\] > conn.log
213	wheeler237	1546741916.354	    62.971	0	0	0	0	./wrapper1.sh \[-4.2,-3.4,213\] > conn.log
216	wheeler239	1546741917.801	    61.541	0	0	0	0	./wrapper1.sh \[-4.2,-2.8,216\] > conn.log
218	wheeler230	1546741918.394	    61.450	0	0	0	0	./wrapper1.sh \[-4.2,-2.4,218\] > conn.log
222	wheeler235	1546741919.571	    60.709	0	0	0	0	./wrapper1.sh \[-4.2,-1.6,222\] > conn.log
220	wheeler238	1546741919.075	    61.359	0	0	0	0	./wrapper1.sh \[-4.2,-2.0,220\] > conn.log
221	wheeler236	1546741919.217	    61.316	0	0	0	0	./wrapper1.sh \[-4.2,-1.8,221\] > conn.log
219	wheeler232	1546741918.448	    64.939	0	0	0	0	./wrapper1.sh \[-4.2,-2.2,219\] > conn.log
224	wheeler228	1546741975.612	    59.347	0	0	0	0	./wrapper1.sh \[-4.2,-1.2,224\] > conn.log
229	wheeler239	1546741979.354	    60.309	0	0	0	0	./wrapper1.sh \[-4.2,-0.2,229\] > conn.log
226	wheeler240	1546741979.128	    60.727	0	0	0	0	./wrapper1.sh \[-4.2,-0.8,226\] > conn.log
223	wheeler246	1546741973.057	    66.819	0	0	0	0	./wrapper1.sh \[-4.2,-1.4,223\] > conn.log
233	wheeler236	1546741980.545	    60.554	0	0	0	0	./wrapper1.sh \[-4.2,0.6,233\] > conn.log
231	wheeler235	1546741980.293	    61.016	0	0	0	0	./wrapper1.sh \[-4.2,0.2,231\] > conn.log
228	wheeler237	1546741979.338	    62.079	0	0	0	0	./wrapper1.sh \[-4.2,-0.4,228\] > conn.log
230	wheeler230	1546741979.856	    61.873	0	0	0	0	./wrapper1.sh \[-4.2,0.0,230\] > conn.log
232	wheeler238	1546741980.446	    61.870	0	0	0	0	./wrapper1.sh \[-4.2,0.4,232\] > conn.log
234	wheeler232	1546741983.399	    60.489	0	0	0	0	./wrapper1.sh \[-4.2,0.8,234\] > conn.log
225	wheeler231	1546741978.851	    74.787	0	0	0	0	./wrapper1.sh \[-4.2,-1.0,225\] > conn.log
227	wheeler233	1546741979.250	    78.496	0	0	0	0	./wrapper1.sh \[-4.2,-0.6,227\] > conn.log
235	wheeler228	1546742034.975	    65.131	0	0	0	0	./wrapper1.sh \[-4.2,1.0,235\] > conn.log
238	wheeler246	1546742039.887	    60.756	0	0	0	0	./wrapper1.sh \[-4.2,1.6,238\] > conn.log
236	wheeler239	1546742039.676	    61.664	0	0	0	0	./wrapper1.sh \[-4.2,1.2,236\] > conn.log
237	wheeler240	1546742039.868	    61.736	0	0	0	0	./wrapper1.sh \[-4.2,1.4,237\] > conn.log
242	wheeler230	1546742041.741	    60.437	0	0	0	0	./wrapper1.sh \[-4.2,2.4,242\] > conn.log
